"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","SUCCESS","2023-02-25T20:37:34.585Z[Etc/UTC]","0.0","33.55"
"Modify Order","Order Information","SUCCESS","2023-02-25T20:38:08.17Z[Etc/UTC]","0.0","39.71"
"Modify Order","Current Test Information","SUCCESS","2023-02-25T20:38:47.908Z[Etc/UTC]","0.0","29.97"
"Modify Order","Available Test Information","SUCCESS","2023-02-25T20:39:17.904Z[Etc/UTC]","0.0","10.45"
"Modify Order","Add Order","SUCCESS","2023-02-25T20:39:28.382Z[Etc/UTC]","0.0","34.7"
"Modify Order","Collection Date","SUCCESS","2023-02-25T20:40:03.115Z[Etc/UTC]","0.0","52.41"
"Modify Order","Collection Time","SUCCESS","2023-02-25T20:40:55.548Z[Etc/UTC]","0.0","63.28"
"Modify Order","Add Tests","SUCCESS","2023-02-25T20:41:58.852Z[Etc/UTC]","0.0","43.1"
"Modify Order","Verification","SUCCESS","2023-02-25T20:42:41.983Z[Etc/UTC]","0.0","10.5"
