"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-03-20T12:41:21.854Z[Etc/UTC]","0.0","6.98"
"Test Management Feature","Open Rename Existing Test Names page","SUCCESS","2023-03-20T12:41:28.871Z[Etc/UTC]","0.0","31.18"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-03-20T12:42:00.084Z[Etc/UTC]","0.0","15.11"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-03-20T12:42:15.231Z[Etc/UTC]","0.0","15.06"
"Test Management Feature","Add new tests","ERROR","2023-03-20T12:42:30.325Z[Etc/UTC]","0.0","72.29"
"Test Management Feature","Verify Added new testName","FAILURE","2023-03-20T12:43:42.653Z[Etc/UTC]","0.0","20.18"
"Test Management Feature","Modify test details","SUCCESS","2023-03-20T12:44:02.865Z[Etc/UTC]","0.0","47.32"
