"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-03-17T00:34:29.838Z[Etc/UTC]","0.0","119.72"
"Test Management Feature","User rejects the testName updates","ERROR","2023-03-17T00:36:29.595Z[Etc/UTC]","0.0","59.33"
"Test Management Feature","User cancels the testName updates","ERROR","2023-03-17T00:37:28.958Z[Etc/UTC]","0.0","59.57"
"Test Management Feature","Add new tests","ERROR","2023-03-17T00:38:28.558Z[Etc/UTC]","0.0","72.68"
"Test Management Feature","Verify Added new testName","FAILURE","2023-03-17T00:39:41.273Z[Etc/UTC]","0.0","22.13"
"Test Management Feature","Modify test details","ERROR","2023-03-17T00:40:03.441Z[Etc/UTC]","0.0","141.74"
