"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","SUCCESS","2023-03-20T16:40:05.003Z[Etc/UTC]","0.0","31.94"
"Modify Order","Order Information","SUCCESS","2023-03-20T16:40:36.987Z[Etc/UTC]","0.0","39.73"
"Modify Order","Current Test Information","SUCCESS","2023-03-20T16:41:16.785Z[Etc/UTC]","0.0","30.64"
"Modify Order","Available Test Information","SUCCESS","2023-03-20T16:41:47.468Z[Etc/UTC]","0.0","10.76"
"Modify Order","Add Order","SUCCESS","2023-03-20T16:41:58.268Z[Etc/UTC]","0.0","34.02"
"Modify Order","Collection Date","SUCCESS","2023-03-20T16:42:32.325Z[Etc/UTC]","0.0","48.87"
"Modify Order","Collection Time","SUCCESS","2023-03-20T16:43:21.235Z[Etc/UTC]","0.0","57.31"
"Modify Order","Add Tests","SUCCESS","2023-03-20T16:44:18.591Z[Etc/UTC]","0.0","39.88"
"Modify Order","Verification","SUCCESS","2023-03-20T16:44:58.514Z[Etc/UTC]","0.0","9.76"
