"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-05-15T23:47:06.144Z[Etc/UTC]","0.0","8.19"
"Test Management Feature","Open Rename Existing Test Names page","SUCCESS","2023-05-15T23:47:14.376Z[Etc/UTC]","0.0","34.9"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-05-15T23:47:49.31Z[Etc/UTC]","0.0","16.68"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-05-15T23:48:06.026Z[Etc/UTC]","0.0","16.41"
"Test Management Feature","Add new tests","FAILURE","2023-05-15T23:48:22.47Z[Etc/UTC]","0.0","16.81"
"Test Management Feature","Verify Added new testName","SUCCESS","2023-05-15T23:48:39.312Z[Etc/UTC]","0.0","23.97"
"Test Management Feature","Modify test details","SUCCESS","2023-05-15T23:49:03.317Z[Etc/UTC]","0.0","52.57"
