"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-07-22T08:29:01.854Z[Etc/UTC]","0.0","6.44"
"Test Management Feature","Open Rename Existing Test Names page","SUCCESS","2023-07-22T08:29:08.325Z[Etc/UTC]","0.0","31.13"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-07-22T08:29:39.487Z[Etc/UTC]","0.0","14.83"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-07-22T08:29:54.351Z[Etc/UTC]","0.0","14.65"
"Test Management Feature","Add new tests","ERROR","2023-07-22T08:30:09.034Z[Etc/UTC]","0.0","30.04"
"Test Management Feature","Verify Added new testName","SUCCESS","2023-07-22T08:30:39.103Z[Etc/UTC]","0.0","19.55"
"Test Management Feature","Modify test details","SUCCESS","2023-07-22T08:30:58.69Z[Etc/UTC]","0.0","52.52"
