"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","SUCCESS","2023-07-24T10:00:38.718Z[Etc/UTC]","0.0","32.75"
"Modify Order","Order Information","SUCCESS","2023-07-24T10:01:11.506Z[Etc/UTC]","0.0","39.83"
"Modify Order","Current Test Information","SUCCESS","2023-07-24T10:01:51.37Z[Etc/UTC]","0.0","30.46"
"Modify Order","Available Test Information","SUCCESS","2023-07-24T10:02:21.871Z[Etc/UTC]","0.0","10.74"
"Modify Order","Add Order","SUCCESS","2023-07-24T10:02:32.649Z[Etc/UTC]","0.0","34.34"
"Modify Order","Collection Date","SUCCESS","2023-07-24T10:03:07.029Z[Etc/UTC]","0.0","52.46"
"Modify Order","Collection Time","SUCCESS","2023-07-24T10:03:59.519Z[Etc/UTC]","0.0","62.16"
"Modify Order","Add Tests","SUCCESS","2023-07-24T10:05:01.719Z[Etc/UTC]","0.0","42.55"
"Modify Order","Verification","SUCCESS","2023-07-24T10:05:44.304Z[Etc/UTC]","0.0","10.61"
