"Story","Title","Result","Date","Stability","Duration (s)"
"Add Batch Orders Feature","Add Batch Orders action","ERROR","2023-03-16T22:06:44.669Z[Etc/UTC]","0.0","18.23"
"Add Batch Orders Feature","Batch Order Entry Screen","SUCCESS","2023-03-16T22:07:02.962Z[Etc/UTC]","0.0","15.41"
