"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-03-16T23:12:25.51Z[Etc/UTC]","0.0","121.91"
"Test Management Feature","User rejects the testName updates","ERROR","2023-03-16T23:14:27.461Z[Etc/UTC]","0.0","61.13"
"Test Management Feature","User cancels the testName updates","ERROR","2023-03-16T23:15:28.633Z[Etc/UTC]","0.0","61.05"
