"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","FAILURE","2023-02-22T12:18:23.935Z[Etc/UTC]","0.0","34.04"
"Modify Order","Order Information","FAILURE","2023-02-22T12:18:58.005Z[Etc/UTC]","0.0","5.62"
"Modify Order","Current Test Information","FAILURE","2023-02-22T12:19:03.655Z[Etc/UTC]","0.0","5.68"
"Modify Order","Available Test Information","FAILURE","2023-02-22T12:19:09.363Z[Etc/UTC]","0.0","6.05"
"Modify Order","Add Order","ERROR","2023-02-22T12:19:15.446Z[Etc/UTC]","0.0","57.63"
"Modify Order","Collection Date","ERROR","2023-02-22T12:20:13.103Z[Etc/UTC]","0.0","231.68"
"Modify Order","Collection Time","ERROR","2023-02-22T12:24:04.817Z[Etc/UTC]","0.0","288.87"
"Modify Order","Add Tests","ERROR","2023-02-22T12:28:53.711Z[Etc/UTC]","0.0","115.56"
"Modify Order","Verification","SUCCESS","2023-02-22T12:30:49.296Z[Etc/UTC]","0.0","8.35"
