"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Validate list items in Test Management menu","ERROR","2023-06-26T18:39:40.984Z[Etc/UTC]","0.0","17.13"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-06-26T18:39:58.144Z[Etc/UTC]","0.0","34.45"
"Test Management Feature","User rejects the testName updates","ERROR","2023-06-26T18:40:32.622Z[Etc/UTC]","0.0","17.09"
"Test Management Feature","User cancels the testName updates","ERROR","2023-06-26T18:40:49.748Z[Etc/UTC]","0.0","17.15"
"Test Management Feature","Add new tests","ERROR","2023-06-26T18:41:06.932Z[Etc/UTC]","0.0","17.06"
"Test Management Feature","Verify Added new testName","ERROR","2023-06-26T18:41:24.03Z[Etc/UTC]","0.0","30.35"
"Test Management Feature","Modify test details","ERROR","2023-06-26T18:41:54.414Z[Etc/UTC]","0.0","34.47"
