"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Open Rename Existing Test Names page","SUCCESS","2023-03-27T09:14:42.455Z[Etc/UTC]","0.0","33.45"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-03-27T09:15:15.936Z[Etc/UTC]","0.0","15.98"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-03-27T09:15:31.95Z[Etc/UTC]","0.0","15.81"
