"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-03-16T22:40:11.64Z[Etc/UTC]","0.0","119.9"
"Test Management Feature","User rejects the testName updates","ERROR","2023-03-16T22:42:11.572Z[Etc/UTC]","0.0","60.75"
"Test Management Feature","User cancels the testName updates","ERROR","2023-03-16T22:43:12.358Z[Etc/UTC]","0.0","60.02"
"Test Management Feature","Add new tests","ERROR","2023-03-16T22:44:12.408Z[Etc/UTC]","0.0","74.37"
"Test Management Feature","Modify test details","ERROR","2023-03-16T22:45:50.288Z[Etc/UTC]","0.0","105.99"
