"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-05-31T09:55:38.174Z[Etc/UTC]","0.0","7.94"
"Test Management Feature","Open Rename Existing Test Names page","SUCCESS","2023-05-31T09:55:46.144Z[Etc/UTC]","0.0","34.34"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-05-31T09:56:20.517Z[Etc/UTC]","0.0","16.55"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-05-31T09:56:37.095Z[Etc/UTC]","0.0","16.53"
"Test Management Feature","Verify Added new testName","SUCCESS","2023-05-31T09:57:10.233Z[Etc/UTC]","0.0","23.84"
"Test Management Feature","Modify test details","SUCCESS","2023-05-31T09:57:34.108Z[Etc/UTC]","0.0","52.31"
