"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","SUCCESS","2023-02-23T11:10:39.679Z[Etc/UTC]","0.0","26.07"
"Modify Order","Order Information","SUCCESS","2023-02-23T11:11:05.781Z[Etc/UTC]","0.0","26.8"
"Modify Order","Current Test Information","SUCCESS","2023-02-23T11:11:32.618Z[Etc/UTC]","0.0","19.93"
"Modify Order","Available Test Information","SUCCESS","2023-02-23T11:11:52.578Z[Etc/UTC]","0.0","7.41"
"Modify Order","Add Order","SUCCESS","2023-02-23T11:12:00.016Z[Etc/UTC]","0.0","31.5"
"Modify Order","Collection Date","SUCCESS","2023-02-23T11:12:31.547Z[Etc/UTC]","0.0","38.09"
"Modify Order","Collection Time","SUCCESS","2023-02-23T11:13:09.668Z[Etc/UTC]","0.0","43.96"
"Modify Order","Add Tests","SUCCESS","2023-02-23T11:13:53.658Z[Etc/UTC]","0.0","32.28"
"Modify Order","Verification","SUCCESS","2023-02-23T11:14:25.972Z[Etc/UTC]","0.0","7.49"
