"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-03-16T22:05:32.269Z[Etc/UTC]","0.0","117.21"
"Test Management Feature","User rejects the testName updates","ERROR","2023-03-16T22:07:29.524Z[Etc/UTC]","0.0","58.58"
"Test Management Feature","User cancels the testName updates","ERROR","2023-03-16T22:08:28.142Z[Etc/UTC]","0.0","58.45"
