"Story","Title","Result","Date","Stability","Duration (s)"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-03-21T14:41:12.061Z[Etc/UTC]","0.0","7.49"
"Test Management Feature","Open Rename Existing Test Names page","SUCCESS","2023-03-21T14:41:19.596Z[Etc/UTC]","0.0","33.12"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-03-21T14:41:52.751Z[Etc/UTC]","0.0","15.49"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-03-21T14:42:08.277Z[Etc/UTC]","0.0","15.85"
"Test Management Feature","Add new tests","ERROR","2023-03-21T14:42:24.165Z[Etc/UTC]","0.0","31.17"
"Test Management Feature","Verify Added new testName","FAILURE","2023-03-21T14:42:55.367Z[Etc/UTC]","0.0","21.22"
"Test Management Feature","Modify test details","SUCCESS","2023-03-21T14:43:16.622Z[Etc/UTC]","0.0","50.21"
